,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
446,SHXX-J211222.pdf,SHXX-J211222,20/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",17,126.73,2154.41,28251.23,$,0.891375,Product Model
447,SHXX-J211222.pdf,SHXX-J211222,20/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K660X-WH2
BD-505JS",34,221.93,7545.62,28251.23,$,0.88375,Product Model
448,SHXX-K220116.pdf,SHXX-K220116,17/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K135X-SL3
BC90",132,67.77,8945.64,16331.34,$,0.920875,
449,SHXX-K220116.pdf,SHXX-K220116,17/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250X-WH3
BD192JA",70,105.51,7385.7,16331.34,$,0.921375,
450,SHXX-S211130B.pdf,SHXX-S211130B,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250XL-WH2
BD192GA",47,110.1,5174.7,28366.11,$,0.883625,
451,SHXX-S211130B.pdf,SHXX-S211130B,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320XL-WH2
BD232GA",117,116.98,13686.66,28366.11,$,0.94425,
452,SHXX-S211130B.pdf,SHXX-S211130B,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-SL3
BD282JA",75,126.73,9504.75,28366.11,$,0.94425,
453,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250XL-WH2
BD192GA",18,110.1,1981.8,21494.02,$,0.8805,
454,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580XL-WH2
BD445GA",10,206.44,2064.4,21494.02,$,0.866375,
455,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400XL-WH2
BD282GA",28,132.47,3709.16,21494.02,$,0.87525,
